,PIPE_DIAMETER,PIPE_LENGTH,Age,PRESSURE_ZONE_BRESLAU,PRESSURE_ZONE_BRIDGEPORT,PRESSURE_ZONE_KIT 2E,PRESSURE_ZONE_KIT 2EA,PRESSURE_ZONE_KIT 2W,PRESSURE_ZONE_KIT 4,PRESSURE_ZONE_KIT 4A,PRESSURE_ZONE_KIT 5,PRESSURE_ZONE_KIT 6,PRESSURE_ZONE_MANNHEIM,PRESSURE_ZONE_RAW NO ZONE,PRESSURE_ZONE_WAT 4,MATERIAL_AC,MATERIAL_CI,MATERIAL_COP,MATERIAL_CPP,MATERIAL_DI,MATERIAL_HDPE,MATERIAL_PVC,MATERIAL_PVCB,MATERIAL_PVCF,MATERIAL_PVCO,MATERIAL_ST,Predicted condition,Label
2351,-0.7019460135237814,2.1965141221317417,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.369000000000006,1
1353,2.0076890376081216,-0.45307158428303673,1.1567901396006868,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.850000000000014,0
1747,-0.7019460135237814,0.5984630791063265,0.792236285007267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.8419999999999925,1
163,1.5560831957528045,-0.45425821553903006,1.2023593714248644,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.850000000000014,0
1633,-0.7019460135237814,0.41603451028064725,-0.2558560469488151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.424999999999994,1
2088,-0.7019460135237814,0.42032434537399693,-0.8482560606631223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.150000000000007,1
2080,-0.7019460135237814,-0.4135041526478023,1.2023593714248644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.850000000000014,0
1893,-0.7019460135237814,-0.3823211387889217,1.6124824578424617,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.710799999999999,0
526,-0.7019460135237814,1.0088807898762913,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.215500000000004,1
416,0.6528715120421702,0.47631344759328115,0.6555285895347346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.438500000000001,0
1658,-0.7019460135237814,1.2807400461502476,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.283000000000001,0
1262,2.0076890376081216,1.1742518518460179,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.428000000000001,0
190,0.6528715120421702,-0.40100808032379054,1.2023593714248644,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.883000000000013,0
235,-0.7019460135237814,0.04895319274201322,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.041000000000007,1
885,-0.2503401716684642,0.5103640492113501,0.4732516622380246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.476,0
1107,-0.7019460135237814,-0.38766496396402095,1.7947593851391717,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.514800000000001,0
573,-0.7019460135237814,1.4962264319981864,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.405999999999999,0
1780,-0.7019460135237814,1.154830384212061,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.467999999999999,1
1922,0.6528715120421702,1.0964431954425056,0.792236285007267,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2645000000000035,1
1125,2.0076890376081216,-0.40456944846327736,0.7010978213589121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3824,0
2579,-0.7019460135237814,0.6580642293355966,-1.2128099152565421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.591000000000001,1
1077,-0.7019460135237814,0.8016091072107568,1.1567901396006868,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.667999999999998,1
774,-1.1535518553790984,-0.4620541054443349,2.8428517170952534,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2320,0.6528715120421702,-0.05486078034273233,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.267,0
826,-0.7019460135237814,1.5459619772470976,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.437499999999996,1
2153,-0.7019460135237814,0.8007041121693211,0.4732516622380246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.456,0
1438,-0.7019460135237814,-0.08077606794249285,0.06312857582042729,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.560000000000002,1
1679,-1.6051576972344157,-0.021039265696358406,-0.52927143789388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.537499999999997,1
2596,-0.2503401716684642,-0.45653693345794816,1.7947593851391717,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2071,-0.7019460135237814,1.8974950983123182,1.566913226018284,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.024999999999994,1
1430,-0.2503401716684642,0.020364989638218693,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4435,0
1735,-0.7019460135237814,1.201117018599536,0.6099593577105571,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3915,0
1772,-0.7019460135237814,0.31618311629924295,1.6124824578424617,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.998500000000001,1
647,-0.7019460135237814,-0.44089045270697513,0.792236285007267,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.799000000000004,0
1029,2.0076890376081216,-0.36582661593813476,0.7010978213589121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.460799999999999,0
2224,-0.2503401716684642,0.3851880716753846,0.4732516622380246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4795,0
1119,-0.7019460135237814,-0.41982564650400295,1.1567901396006868,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.327400000000012,0
36,-0.7019460135237814,0.6099506316869518,1.1567901396006868,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.238499999999998,1
2344,-0.7019460135237814,0.09647932341348613,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.97,0
1694,-0.7019460135237814,0.9805032699617142,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.616499999999993,1
1788,-0.7019460135237814,-0.1262510550639037,1.5213439941941067,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.586599999999999,1
479,-0.7019460135237814,-0.23936830742654347,1.475774762369929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.163200000000002,0
2416,-0.7019460135237814,1.2699461570570105,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.824499999999999,1
390,-0.7019460135237814,1.0705385445879023,1.475774762369929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.394000000000009,1
2086,-0.2503401716684642,0.023523449466801856,1.9770363124358814,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.738500000000007,1
189,-0.7019460135237814,1.4506478831264211,1.1567901396006868,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.864000000000008,1
1758,-0.7019460135237814,0.744851918175939,0.792236285007267,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.009499999999998,1
667,2.0076890376081216,1.3881355762670258,0.4276824304138471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4515,0
1252,-0.7019460135237814,-0.4394093103285158,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
358,2.0076890376081216,0.023505827517890952,0.9289439804797994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9640000000000075,1
525,-0.7019460135237814,0.6100040093451179,1.1112209077765094,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.6275,1
662,-0.7019460135237814,1.3079398171987102,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.283000000000001,0
2233,0.6528715120421702,1.1623160992519372,0.9745132123039769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.350000000000001,0
1317,-0.2503401716684642,-0.45884602287190895,1.9770363124358814,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1632,-0.7019460135237814,-0.020795688733128835,-0.2558560469488151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.058,1
2093,-0.2503401716684642,-0.4495576270747946,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.712000000000001,0
509,-0.7019460135237814,0.16040450361367764,1.2023593714248644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.937000000000009,1
1205,0.6528715120421702,0.010119042587940667,0.4732516622380246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.276,0
1338,-0.7019460135237814,0.8071088116341684,0.4732516622380246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.456,0
322,-0.2503401716684642,0.10421197044273287,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.865499999999993,1
1359,-0.7019460135237814,-0.4178738988539992,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8490000000000135,0
1581,-0.7019460135237814,0.16222603018875723,0.6099593577105571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2415,0
1406,-0.7019460135237814,-0.4558208225717704,2.706144021622721,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1883,-0.7019460135237814,-0.018846956094535183,1.6124824578424617,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.229000000000001,0
1293,-0.2503401716684642,-0.38005464707065517,1.2934978350732194,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7118,0
2137,0.6528715120421702,0.294389402208821,0.2909747349413147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.168000000000005,1
1494,0.6528715120421702,-0.06737069201276387,1.3846362987215741,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.565999999999997,0
2065,-0.7019460135237814,0.3187970525308092,1.658051689666639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.563500000000006,1
2270,0.6528715120421702,1.135683266668653,0.38211319858966963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.953999999999991,1
2661,-0.7019460135237814,0.31699820600170514,-1.3039483789048971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.865999999999993,1
450,-0.7019460135237814,0.5954589934967781,0.10869780764460478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.307999999999998,1
411,-0.2503401716684642,0.0654555269102887,1.9770363124358814,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.493999999999994,1
518,-0.7019460135237814,-0.38985990447471996,0.7010978213589121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2256,0
2598,0.6528715120421702,-0.3733808378903605,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.505499999999995,0
1259,-0.7019460135237814,-0.43301909029010976,1.9770363124358814,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1684,0.201265670186853,0.39031058421115716,0.9745132123039769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.442,0
1770,-0.7019460135237814,0.36983223973288576,1.1567901396006868,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.905000000000002,1
2616,2.0076890376081216,0.19298196379317878,2.3871593988534787,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.002999999999995,1
5,-0.7019460135237814,0.8042259353460899,1.749190153314994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.684999999999996,1
1507,-0.2503401716684642,0.531641173046321,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.813999999999993,1
2299,-0.2503401716684642,1.5459863605603001,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.840999999999995,1
1858,-0.7019460135237814,-0.4215508844044661,2.0681747760842364,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.281600000000001,0
1303,-0.7019460135237814,1.042596932713215,0.792236285007267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.228,0
1312,-0.7019460135237814,-0.46318155882770556,1.2934978350732194,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2076,3.362506563174073,0.08826950345294296,0.9289439804797994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.242,0
1474,0.6528715120421702,0.1250612834721712,0.7010978213589121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.247999999999999,1
1949,-0.7019460135237814,-0.39576639616558185,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7686000000000135,0
254,-0.7019460135237814,-0.46104403645022635,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1685,-0.2503401716684642,0.03617683054443646,1.3846362987215741,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.026,0
