,PIPE_DIAMETER,PIPE_LENGTH,Age,PRESSURE_ZONE_BRESLAU,PRESSURE_ZONE_BRIDGEPORT,PRESSURE_ZONE_KIT 2E,PRESSURE_ZONE_KIT 2EA,PRESSURE_ZONE_KIT 2W,PRESSURE_ZONE_KIT 4,PRESSURE_ZONE_KIT 4A,PRESSURE_ZONE_KIT 5,PRESSURE_ZONE_KIT 6,PRESSURE_ZONE_MANNHEIM,PRESSURE_ZONE_RAW NO ZONE,PRESSURE_ZONE_WAT 4,MATERIAL_AC,MATERIAL_CI,MATERIAL_COP,MATERIAL_CPP,MATERIAL_DI,MATERIAL_HDPE,MATERIAL_PVC,MATERIAL_PVCB,MATERIAL_PVCF,MATERIAL_PVCO,MATERIAL_ST,Predicted condition,Label
2632,-0.7019460135237814,0.3508793304642499,-1.2583791470807197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.651,1
34,-0.7019460135237814,0.28230730151301175,0.9289439804797994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3975,0
1881,-0.7019460135237814,0.05248157125760762,1.658051689666639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.281999999999995,1
501,-0.7019460135237814,0.475831706615359,0.7010978213589121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.296999999999999,0
867,2.0076890376081216,0.19078638346730756,1.7036209214908167,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.398000000000001,0
2138,-0.2503401716684642,-0.154085958198225,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.419500000000001,0
1437,-0.7019460135237814,-0.38166650023732474,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.343200000000001,0
589,-0.2503401716684642,0.2109377610905211,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.060000000000002,0
1610,-0.7019460135237814,0.4256057483198732,1.749190153314994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.204999999999997,0
927,0.6528715120421702,0.23384168731778757,0.38211319858966963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.243999999999998,0
930,-0.7019460135237814,-0.46210773532510857,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1362,-0.7019460135237814,1.4171310781122588,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.323500000000001,1
1819,-0.7019460135237814,0.13294128524705542,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.452000000000005,1
1783,-0.7019460135237814,-0.4183989028474895,1.8858978487875264,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2610,-0.7019460135237814,-0.14737481654545986,-1.2583791470807197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.889999999999995,1
1100,0.6528715120421702,-0.40770790402710355,1.7947593851391717,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.358,0
2257,0.6528715120421702,0.6830427920708982,0.9289439804797994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.450500000000002,1
1275,0.6528715120421702,-0.14450333304624496,0.38211319858966963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4865,0
1051,-0.7019460135237814,-0.45288307977330605,2.706144021622721,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2362,0.6528715120421702,0.3654613405247411,0.7466670531830895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.471499999999999,0
1204,-0.2503401716684642,0.6555799043654152,0.9289439804797994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.347999999999999,0
1628,-0.7019460135237814,-0.4626870974372877,1.475774762369929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.598,0
1641,-0.7019460135237814,0.5351489003365919,0.4276824304138471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.278,0
1421,0.6528715120421702,0.42130124137748126,0.9745132123039769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.472000000000001,0
2313,-0.7019460135237814,0.5798034232238193,2.8428517170952534,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.999000000000008,1
2081,0.6528715120421702,-0.24581630140725738,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.842000000000013,0
1513,-0.7019460135237814,-0.009362347352176925,1.0656516759523318,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.394000000000007,1
1345,-0.7019460135237814,0.2944385092465717,1.2023593714248644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.695500000000007,0
446,-0.7019460135237814,1.0023456128602102,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.030499999999996,1
2349,2.0076890376081216,-0.38875215719850276,1.2934978350732194,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1626,-0.7019460135237814,-0.4521615154439798,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.712000000000001,0
208,-0.7019460135237814,1.4927400171047462,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.052500000000006,1
746,-0.7019460135237814,-0.45391040553420536,0.9745132123039769,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7000000000000135,0
2259,-0.2503401716684642,-0.04458936931607476,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.223,0
507,-0.7019460135237814,0.094141238850328,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9895000000000085,1
585,-0.2503401716684642,0.5226143480185309,0.8378055168314444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.371500000000001,0
2411,-0.7019460135237814,0.8087653980259836,1.2023593714248644,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.547,1
2174,2.0076890376081216,0.15313282482821935,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.547000000000009,0
1390,3.362506563174073,-0.4564778394700393,0.8833747486556219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.460799999999999,0
2018,0.6528715120421702,1.0490922984209294,0.5643901258863796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.468,0
1000,-0.7019460135237814,0.058747938682866534,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.774000000000008,0
1672,-0.7019460135237814,1.9403856241445856,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.904999999999997,1
783,0.6528715120421702,-0.4625135291374061,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9736,0
1360,-0.7019460135237814,1.8140154242081703,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9310000000000063,1
88,0.6528715120421702,0.6785752270800536,0.7010978213589121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9995,0
25,-0.7019460135237814,0.316104169984933,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.361999999999997,1
1373,0.6528715120421702,0.6153763890875704,0.7466670531830895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.266,1
1467,-0.7019460135237814,0.9064644846126645,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.275499999999995,1
2389,0.6528715120421702,-0.4588457689012461,1.3846362987215741,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
248,-0.7019460135237814,1.6937825111118097,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.533499999999999,1
1813,-0.7019460135237814,1.017372233737692,0.8833747486556219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.035500000000001,1
511,-0.7019460135237814,1.5008620015340017,1.2023593714248644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.077000000000007,1
2987,-0.7019460135237814,-0.3556322894199642,0.8378055168314444,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.136000000000007,0
1619,-0.7019460135237814,-0.16861277608933536,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.146000000000002,1
2497,0.6528715120421702,-0.11885565853813605,-1.1672406834323648,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.890000000000003,1
1058,-1.1535518553790984,-0.4593214465143828,3.1162671080403186,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.615,0
2200,0.6528715120421702,-0.3357348305162348,1.1567901396006868,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.803000000000013,0
28,-0.7019460135237814,0.5516547255598775,0.5643901258863796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.591999999999995,1
621,-0.7019460135237814,2.1957748272128153,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.956999999999994,1
1668,-0.7019460135237814,1.2583283819804074,0.5188208940622021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.071999999999998,1
2500,-0.7019460135237814,-0.4326101705119163,-0.8938252924872998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.723599999999994,1
1884,-0.7019460135237814,-0.11724393105532654,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2295,0
234,-0.7019460135237814,0.04895319274201322,1.0200824441281544,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.041000000000007,1
1164,-0.7019460135237814,1.4931571540984638,1.566913226018284,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.556500000000008,1
605,-0.7019460135237814,-0.027652474974825203,1.4302055305457517,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.9120999999999935,1
71,-1.1535518553790984,0.07042463546886182,1.3390670668973967,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.934,1
1184,-0.7019460135237814,-0.39210497412003603,0.8833747486556219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4216,0
2415,0.6528715120421702,-0.37036143455201925,0.7010978213589121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.424,0
1300,-0.7019460135237814,-0.4237447277852389,1.6124824578424617,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
2332,-0.7019460135237814,0.21286964172984946,1.931467080611704,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.54,0
1820,-0.7019460135237814,-0.42569703490003447,1.7036209214908167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.75,0
1263,-0.2503401716684642,1.173818509287528,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.720999999999992,1
459,-0.2503401716684642,-0.459340405614728,-0.11914835147628262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.10050000000001,0
1885,-0.7019460135237814,0.7519355205954112,0.8378055168314444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4,0
2191,-0.7019460135237814,-0.1640880162581394,1.931467080611704,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.297199999999998,0
405,-0.7019460135237814,0.12985932574621606,1.658051689666639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.071499999999993,1
284,-0.7019460135237814,0.11193057816985988,1.658051689666639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.276000000000003,1
389,-0.7019460135237814,1.0705385445879023,1.475774762369929,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.394000000000009,1
1580,-0.7019460135237814,0.5203678807350276,0.7010978213589121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.408000000000001,0
1941,-0.2503401716684642,-0.1655477363967603,0.8378055168314444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4955,0
1019,-0.7019460135237814,0.5839552801712197,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.028999999999994,1
436,-0.7019460135237814,-0.3318175122939539,0.9745132123039769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.2850000000000055,1
1873,0.6528715120421702,-0.07594189286752716,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.464500000000001,0
1726,0.6528715120421702,-0.3872080385648431,0.9289439804797994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.264800000000001,0
1676,-0.7019460135237814,0.014624382248928565,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.027500000000008,1
2143,-1.1535518553790984,-0.13537748885185294,1.1567901396006868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.225000000000001,0
2245,-0.7019460135237814,1.7574696374200334,1.2479286032490418,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.981000000000004,1
1653,0.6528715120421702,-0.2747904106820047,3.0251286443919634,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.635999999999999,0
1807,0.6528715120421702,1.1995946479848667,0.7466670531830895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.763499999999996,1
1516,-0.7019460135237814,0.6354202771569093,0.7010978213589121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.991499999999998,1
2920,-1.8309606181620743,-0.44478425690029,-0.9393945243114773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.502000000000009,0
597,-0.7019460135237814,0.1272033214347005,3.0251286443919634,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.864300000000003,0
2048,0.6528715120421702,1.080458954435012,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2825,0
736,0.6528715120421702,-0.4026210829894713,1.1112209077765094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.460799999999999,0
